740899127924510720,2016-06-09 13:31:31,"RT @Vivo_Azzurro: Inaugurata Casa #Azzurri a #Montpellier!
#Ita #Italia #VivoAzzurro https://t.co/U73OuQXPwT"
739762528398544896,2016-06-06 10:15:05,"RT @Vivo_Azzurro: #Amichevole: 20.45 🇮🇹🇫🇮 #ItaliaFinlandia a #Verona
 https://t.co/keeXKn8mLZ
 #Azzurri #Nazionale #ItaFin 
 🖥 #Raidue http…"
739401732489367552,2016-06-05 10:21:25,RT @it_prosurfer: Stasera su #Italia1 vedremo sfidarsi il top del #surf italiano...domani toccherà al top del nostro calcio. Che dire...For…
739082310440620032,2016-06-04 13:12:08,"RT @SerieA_TIM: ""Metto questa foto qui perché, anche se non sono italiano, il mio idolo è #Buffon e vorrei che lo sapesse"" (Yanis) https://…"
737730199970779136,2016-05-31 19:39:20,"RT @Vivo_Azzurro: 🇪🇺 #Euro2016 

I 23 #Azzurri  💙convocati e i numeri di maglia!

#Nazionale #Italia 🇮🇹

 #VivoAzzurro https://t.co/CdXz1tZ…"
736851329868529664,2016-05-29 09:27:01,"RT @Vivo_Azzurro: Alle 20.45 l’amichevole #ItaliaScozia (Tv #RaiUno)
I numeri di maglia degli #Azzurri----&gt; https://t.co/Sn9GE4kc6X https:/…"
736837051920875520,2016-05-29 08:30:17,"Ce l'ha fatta -
@RealMadrid è il vincitore della UEFA Champions League 2016! #Priceless (Contenuto promozionale) https://t.co/GVuAeCJJlw"
736557779398348800,2016-05-28 14:00:33,"Dopo più di 11.220 minuti di azione, è arrivato il momento della Finale #UCL. #Priceless (sponsorizzato) https://t.co/BWz6rRiQqg"
736256975433019392,2016-05-27 18:05:16,Regalarsi un taglio di capelli folle per la Finale #UCL presso il Barbershop Milano…#MadnessOrPriceless? https://t.co/6JnXqjrZB8
736167122603249664,2016-05-27 12:08:14,"Per il tuo taglio folle per la Finale #UCL, twitta un selfie #MadnessOrPriceless + #Real o #Atleti (Sponsorizzato) https://t.co/iEhXmMzQVs"
735028351514087424,2016-05-24 08:43:09,Nomino SuperTifosi M&amp;M’s: Marco Belinelli e Pierluigi Pardo . Commentate le partite insieme a loro! #tifoconMMs https://t.co/3sT6lrlvyI
734409769637777408,2016-05-22 15:45:08,".@chiellini ed io passeremo al @PUMA Store Firenze martedì alle 10:30! Se sei in zona, non te la perdere! https://t.co/PVeuTdQS46"
733213152960188416,2016-05-19 08:30:12,Con il vostro tifo nessun traguardo è irraggiungibile! #giococonMMs https://t.co/MpJgrfifVt
732176932658401280,2016-05-16 11:52:38,#Hi5tory #SerieA #JuveSampdoria #TeamBuffon https://t.co/bhlN9a3DFq
731469456384376832,2016-05-14 13:01:23,#JuveSampdoria #AvantiJuve #TeamBuffon #Hi5tory https://t.co/A4YfkPZeHz
731099302353874944,2016-05-13 12:30:31,Grazie a tutti per il vostro “SOSTEGNO” #giococonMMs https://t.co/mxj3HtVKXv
